GroundTruth_Lat,GroundTruth_Lon,ImageFile,Distance
34.0432901,-117.8117042,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481181.248757243
34.0432345,-117.8116174,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481191.232961264
34.043217,-117.811613,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481192.927230572
34.0431898,-117.8116446,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481193.131794766
34.0432028,-117.8116814,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481189.754462725
34.043232,-117.8117418,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481183.574888835
34.0432206,-117.8117649,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481183.03786453
34.0431859,-117.8117944,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481183.98207668
34.0431592,-117.8118323,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481183.748092188
34.0431201,-117.8117753,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481190.514027815
34.0431101,-117.8117512,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481192.846108774
34.043102,-117.8117532,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481193.37525564
34.0430559,-117.8117968,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481194.351116784
34.0430753,-117.8118259,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481190.942374589
34.0430978,-117.8118601,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481186.960502828
