Longitude,Latitude,No.,Red %,NIR %,NDVI,Plant health,Chlorophyll
-117.8114836,34.0433356,N=1,15,1,.0,2,42
-117.8115145,34.0433545,N=2,15,8,.6,2,41.9
-117.8115678,34.0433926,N=3,20,1,.1,2,36.4
-117.8116154,34.0434318,N=4,15,6,.3,2,32.9
-117.8116509,34.0434595,N=5,1,6,.0,3,35.1
-117.8116425,34.0434609,N=6,18,6,.0,2,43.3
-117.8116526,34.0434726,N=7,24,5,.2,3,43.1
-117.8114488,34.0436201,N=8,14,5,.1,3,40.5
-117.8114592,34.043629,N=9,4,6,.0,3,40.9
-117.8114736,34.043624,N=10,7,9,.0,2,41.5
-117.8114239,34.0435757,N=11,18,6,.4,4,37.4
-117.8114119,34.0435762,N=12,20,6,.6,3,38.1
-117.8114317,34.0435537,N=13,18,4,.2,3,44.4
-117.8113955,34.043529,N=14,19,0,.0,3,41
-117.8113391,34.043489,N=15,18,7,.4,2,45.8
-117.811376,34.0434962,N=16,10,0,.1,4,37.8
-117.8114283,34.0435279,N=17,19,5,.0,2,39.9
-117.8114353,34.0435454,N=18,0,2,.0,3,39.7
-117.8114622,34.0435732,N=19,4,6,.0,2,40.6
-117.8115128,34.0436043,N=20,30,5,.7,2,39.1
-117.8115276,34.043594,N=21,20,7,.0,3,38.2
-117.8115594,34.0435623,N=22,23,7,.3,1,43.1
-117.8115172,34.0435384,N=23,21,9,.6,3,40
-117.811434,34.0434784,N=24,15,8,.0,3,40.4
-117.81137,34.0434618,N=25,19,1,.5,3,34.8
-117.8114166,34.0434787,N=26,27,7,.0,2,41.1
-117.8114883,34.0435321,N=27,19,1,.0,4,31.3
-117.8115111,34.0435398,N=28,23,5,.0,2,40.3
-117.8115316,34.0435146,N=29,4,4,.0,3,35.5
-117.8115614,34.0435282,N=30,21,0,.0,3,41.2
-117.8115701,34.0435209,N=31,24,1,.0,2,37.4
-117.8115363,34.0434523,N=32,24,6,.2,2,35.4
-117.8115721,34.0434687,N=33,14,6,.0,2,39.4
-117.8115356,34.0434418,N=34,16,1,.2,2,30.6
-117.8114736,34.0434107,N=35,22,2,.1,2,43.3
-117.811435,34.0433948,N=36,39,2,.4,3,41.2
-117.8114897,34.0433354,N=37,16,0,.0,3,40.5
-117.8115346,34.0433737,N=38,31,2,.3,2,40.9
-117.8116053,34.0433856,N=39,25,1,.0,2,536.2
-117.8116442,34.043402,N=40,16,2,.2,2,32.2
