x,y,Red,Green,NIR,RedEdge,MCARI,RDVI,SAVI,MSAVI,NDVI
20,619,0.2609170305231787,0.15090329434263694,0.07545164717131847,0.07363927426733603,-0.04926695169856661,-0.3197780566272007,-0.33262217202354627,-0.2624477428467924,0.551358948939403
32,301,0.3438864628234364,0.31562167901241667,0.3655685440413176,0.16328708641887554,0.012429574000082898,0.025741599142214595,0.026890505349972556,0.025422879621112338,0.030561173843693366
127,310,0.4836244540659756,0.38257173213626267,0.38894792767186703,0.15261472782940655,-0.07716621595546772,-0.10135357605566832,-0.10346539801324384,-0.10079015164790195,0.10850152605723444
293,253,0.4519650654250878,0.3018065886852739,0.4325185971651636,0.12806830307362788,-0.04362636968010449,-0.020677271838846396,-0.021068852602159353,-0.020625598992523253,0.021985981926239462
357,290,0.35480349338925976,0.3560042507379111,0.505844845824614,0.25293489857041507,0.17260971520773963,0.16280974975212004,0.16650909908448341,0.1634428091672281,0.17549510988920602
459,251,0.1965065501848208,0.2550478214241751,0.09670563228999972,0.05442902880629185,-0.033527935017414204,-0.18430457474906783,-0.18872565144726222,-0.14872004557084872,0.34035936879706896
504,7,0.1102620087148161,0.4240170031176911,0.4888416577296689,0.37780149406720226,1.6207894351097436,0.4891056050002022,0.5166612654419769,0.5191092591041963,0.6318995095212023
572,617,0.09716157203582805,0.07226354940351627,0.03931987246956033,0.07790821770312363,-0.020739192988211513,-0.156562706004042,-0.13631376499110703,-0.09829232664118548,0.42377528101768314
628,619,0.14628820958203326,0.18490967053252694,0.10520722633747223,0.16435432227782243,-0.01807925190175462,-0.08191570795243519,-0.08199738718473643,-0.0644477330191211,0.16334035236018385
64,533,0.20196506546773246,0.13602550475956005,0.08182784270692284,0.08217716113891121,-0.04428068440697947,-0.22551174281327097,-0.22991217586355428,-0.17895996156714244,0.42331215299448105
155,516,0.245633187731026,0.1806588735087907,0.236981934073296,0.1291355389325748,-0.019213643289174114,-0.0124530070324295,-0.013206343565643158,-0.011646735165549038,0.017925417313806574
315,514,0.7543668120983954,0.5812964929959324,0.6014877788586795,0.17502668086729142,-0.1251149804745934,-0.13129248095580753,-0.12356429447334967,-0.13100297228407287,0.11275393525312245
449,499,0.31331877723913093,0.26886291175131793,0.404888416510878,0.11632870862521198,0.08317286285053538,0.1080496980007012,0.1127503731812961,0.10759061594833041,0.12749573134508463
576,501,0.24235807856127897,0.24973432514450478,0.23060573853769165,0.06296691567786704,-0.0075419332115898245,-0.017088569060058175,-0.018118170957339086,-0.015912459289862846,0.02484775471637613
20,619,0.2609170305231787,0.15090329434263694,0.07545164717131847,0.07363927426733603,-0.04926695169856661,-0.3197780566272007,-0.33262217202354627,-0.2624477428467924,0.551358948939403
588,598,0.08187772924367533,0.28161530282252667,0.04782146651703283,0.4290288152966534,0.007418113228070604,-0.09456090593910559,-0.08112379067814267,-0.05899060411629897,0.2625585910965393
477,613,0.5513100435740805,0.5090329435924161,0.6131774706739543,0.23052294553253017,0.04564298262196447,0.05733141723797281,0.055753233792162044,0.05703863023792666,0.05312798917546113
317,297,0.45524017459483485,0.45802337930758114,0.48777895847373487,0.15474919954730035,0.02848744167789262,0.03350726593674697,0.03382343460657233,0.03350977833975155,0.034504555212768594
414,13,0.1331877729030452,0.1115834218730766,0.1721572794613182,0.45357524005243205,0.03470956941108176,0.07052162237426045,0.07258196514296107,0.060719299118788594,0.12762029242917586
357,2,0.15502183403469194,0.10733262484934035,0.1115834218730766,0.127001067214681,-0.03187648727839106,-0.08412623303872037,-0.08499389712727892,-0.0673209210026966,0.16292545511797862
299,6,0.08951965063975169,0.06269925610010971,0.06801275237978002,0.08110992527996433,-0.01714538573446262,-0.05418499745087696,-0.04906200338625796,-0.0366791386942551,0.1365149885584496
