x,y,Red,Green,NIR,RedEdge,MCARI,RDVI,SAVI,MSAVI,NDVI
268,340,0.6855895195337081,0.5122210413602183,0.5557917108535149,0.2059765207767515,-0.1122867913735247,-0.1164964954760095,-0.11180522707635315,-0.11651014629460321,0.1045583052139869
313,198,0.22489082965596158,0.17109458020538412,0.2975557916615376,0.15261472782940655,0.06267665334064376,0.10053100213156815,0.10660350838129559,0.09700936849189601,0.13908326857340525
88,286,0.29148471610748417,0.25079702440043883,0.3092454834768123,0.06830309497260154,0.006440794199475813,0.02291494284204735,0.02420296416630531,0.022253306729710376,0.029564833522581543
145,255,0.5207423579897751,0.40595111576681203,0.4102019127905483,0.16648879399571623,-0.0877435108486261,-0.11456634393466182,-0.11587419570836914,-0.11427279288718428,0.1187388617267246
14,161,0.20960698686380885,0.15409139211043912,0.2433581296089004,0.1035218783178492,0.01845679530616804,0.05014773551953663,0.053124908892830766,0.046881985457769226,0.0745099278068343
58,150,0.33624454142736,0.19659936234780165,0.20191285862747196,0.1035218783178492,-0.08130111134418086,-0.18311325319952734,-0.1940896350183962,-0.17063801982431115,0.24960948474202874
357,598,0.7008733623258608,0.6057385758824159,0.6493092453757124,0.22732123795568948,-0.05584273674994071,-0.0443761960093611,-0.041804425281746646,-0.04402225003568305,0.03819022527436568
503,524,0.17576419210975638,0.15302869285450504,0.19553666309186757,0.07363927426733603,0.012538073915836504,0.032448311867941136,0.03403917800490057,0.029033617769317455,0.0532504509157076
169,534,0.3744541484077418,0.2624867162157135,0.2773645057987904,0.1141942369073182,-0.07411800173774116,-0.12025584953278917,-0.12643762117701432,-0.11620970739206682,0.14894965228524926
224,495,0.5971615719505388,0.4325185971651636,0.31030818273274635,0.17822838844413214,-0.13635675667992728,-0.30112134037386,-0.3057096234936591,-0.2988834839513881,0.3160989576094127
324,462,0.4967248907449637,0.3188097767802189,0.3655685440413176,0.15154749197045966,-0.10340595195103769,-0.14124050743808803,-0.14441314680490921,-0.14017576416308586,0.15209999484721995
370,440,0.23253275105203794,0.12433581294428536,0.10520722633747223,0.048025613652610454,-0.0558739120851085,-0.2190876246552195,-0.22797768797243256,-0.18278189550856994,0.37698162701388377
466,386,0.12227074233722182,0.21041445267494446,0.12539851220021941,0.24119530412199916,0.020644240176219922,0.0062847910474985,0.006274969020365189,0.005021411611935811,0.012628333173637773
545,344,0.21506550214672052,0.09032943675439535,0.07226354940351627,0.12806830307362788,-0.046766253130465826,-0.2664016284511378,-0.272059357314389,-0.21073677740096253,0.49698073157132305
638,161,0.2827510916548255,0.18384697127659289,0.08714133898659315,0.07897545356207053,-0.0543224842886517,-0.32162285963388687,-0.3372960188915517,-0.27073653506810136,0.5288144619809926
583,183,0.21069868992039117,0.1657810839257138,0.07757704568318659,0.15688367126519415,-0.04251681231742009,-0.2479345616704308,-0.2533122787229971,-0.19691538303518374,0.4617697551363725
