x,y,Red,Green,NIR,RedEdge,MCARI,RDVI,SAVI,MSAVI
532,586,12288.0,11136.0,11904.0,11584.0,-748.1333333333334,-2.4688535993934706,-0.02380903172470807,-0.032256665945169516
580,559,18944.0,18368.0,17280.0,13184.0,-3287.091891891892,-8.742892115551332,-0.0689036425623542,-0.09629324173511122
451,479,28032.0,22912.0,9600.0,7296.0,-4584.153424657534,-95.01535858663556,-0.734684116123032,-1.919708073584843
596,424,18240.0,15296.0,14080.0,18432.0,-439.78105263157903,-23.13969629347921,-0.19306632013737413,-0.295440954321748
313,531,51328.0,37440.0,17024.0,13696.0,-8774.320199501246,-131.21066915603524,-0.7528034819501848,-2.0148591836004925
245,573,35968.0,27008.0,14720.0,9856.0,-6215.242704626335,-94.37685044008356,-0.6287816763171133,-1.4433584700364008
