x,y,Red,Green,NIR,RedEdge,Red_norm,Green_norm,NIR_norm,RedEdge_norm,MCARI_norm,RDVI_norm,SAVI_norm,MSAVI_norm
532,586,12288.0,11136.0,11904.0,11584.0,0.18750286106660563,0.16992446784161136,0.1816433966582742,0.17676050965133136,0.01702612186696763,-0.009644032951043692,-0.010112448318542133,-0.008542555838943922
580,559,18944.0,18368.0,17280.0,13184.0,0.28906691081101704,0.2802777141985199,0.2636758983749142,0.20117494468604563,-0.009064816018463928,-0.03415218288784373,-0.036178369799178184,-0.03255453474789605
451,479,28032.0,22912.0,9600.0,7296.0,0.4277409018081941,0.3496147096971084,0.14648661020828566,0.1113298237582971,0.01816106622202388,-0.37115657618979997,-0.39273006200328126,-0.34369191934000587
596,424,18240.0,15296.0,14080.0,18432.0,0.27832455939574274,0.23340199893186847,0.21484702830548563,0.28125429159990845,0.054267466392642724,-0.09039012827098418,-0.09587094296139811,-0.0838777904260335
313,531,51328.0,37440.0,17024.0,13696.0,0.7832150759136339,0.571297779812314,0.2597695887693599,0.2089875638971542,0.13307962144583801,-0.5125455868181766,-0.5088632756293296,-0.5146482400086709
245,573,35968.0,27008.0,14720.0,9856.0,0.548836499580377,0.41211566338597694,0.22461280231937134,0.15039291981383993,0.07595272885188163,-0.3686623847130878,-0.3819041285475494,-0.3586743746596345
