epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1885.36,1.5578,1.10544,1.29829,0.523,0.55497,0.50698,0.20983,2.06523,1.43083,1.79642,0.000990365,0.000990365,0.000990365
43,1926.16,1.54328,1.11164,1.30421,0.53366,0.55941,0.51782,0.21798,2.0194,1.40831,1.74074,0.000973861,0.000973861,0.000973861
44,1967.06,1.54395,1.09572,1.3064,0.51031,0.59861,0.5281,0.21916,2.05054,1.36893,1.76414,0.000957358,0.000957358,0.000957358
45,2008.13,1.50161,1.05628,1.28264,0.51286,0.56327,0.48567,0.20385,2.03089,1.41935,1.74789,0.000940855,0.000940855,0.000940855
46,2048.93,1.50243,1.04353,1.2739,0.50208,0.58609,0.49282,0.2022,2.06245,1.41207,1.7843,0.000924352,0.000924352,0.000924352
47,2089.6,1.48727,1.03957,1.27893,0.50717,0.60638,0.52097,0.21999,2.0243,1.38338,1.75333,0.000907848,0.000907848,0.000907848
48,2131.2,1.46187,1.02799,1.26866,0.52681,0.61074,0.51952,0.21657,2.04766,1.36293,1.78369,0.000891345,0.000891345,0.000891345
49,2172.39,1.43431,1.00236,1.25171,0.56545,0.50474,0.47078,0.1942,2.08456,1.45684,1.82035,0.000874842,0.000874842,0.000874842
50,2213.12,1.43904,0.98679,1.25367,0.50897,0.58719,0.48717,0.19604,2.12272,1.46325,1.87209,0.000858338,0.000858338,0.000858338
51,2253.85,1.45973,0.98927,1.26289,0.51351,0.52574,0.448,0.18804,2.04674,1.47178,1.78488,0.000841835,0.000841835,0.000841835
52,2294.63,1.40222,0.95553,1.22706,0.53021,0.58062,0.51191,0.21648,2.02521,1.37434,1.78902,0.000825332,0.000825332,0.000825332
53,2335.38,1.40842,0.94283,1.23522,0.51265,0.54232,0.51155,0.21372,2.06985,1.42019,1.84028,0.000808828,0.000808828,0.000808828
54,2377.13,1.38592,0.93253,1.21412,0.49951,0.53842,0.47098,0.19523,2.09621,1.52884,1.85261,0.000792325,0.000792325,0.000792325
55,2417.93,1.37199,0.91579,1.21606,0.4995,0.55214,0.48977,0.20507,2.08501,1.48148,1.85117,0.000775822,0.000775822,0.000775822
56,2458.77,1.35262,0.90331,1.19279,0.47975,0.51014,0.42905,0.17592,2.10771,1.61019,1.89863,0.000759318,0.000759318,0.000759318
57,2499.45,1.35283,0.88793,1.18848,0.50884,0.5737,0.48029,0.19331,2.09479,1.48728,1.86633,0.000742815,0.000742815,0.000742815
58,2540.31,1.32603,0.87825,1.18605,0.49521,0.55766,0.48231,0.19877,2.10168,1.50452,1.90815,0.000726312,0.000726312,0.000726312
59,2581.12,1.31056,0.87763,1.18407,0.54647,0.47743,0.45285,0.18715,2.07963,1.55498,1.89306,0.000709809,0.000709809,0.000709809
60,2621.92,1.29371,0.84998,1.16841,0.49999,0.55425,0.471,0.19991,2.08849,1.53919,1.87787,0.000693305,0.000693305,0.000693305
61,2663.92,1.27639,0.848,1.16777,0.49363,0.56662,0.46056,0.19527,2.14517,1.54597,1.97347,0.000676802,0.000676802,0.000676802
62,2704.66,1.2725,0.82467,1.16167,0.46822,0.56668,0.4594,0.19374,2.11428,1.5727,1.926,0.000660299,0.000660299,0.000660299
63,2745.3,1.25604,0.82034,1.16137,0.51189,0.57163,0.47972,0.20184,2.08061,1.55716,1.9061,0.000643795,0.000643795,0.000643795
64,2786.02,1.26037,0.81149,1.15124,0.497,0.55345,0.46277,0.19171,2.11087,1.54927,1.91618,0.000627292,0.000627292,0.000627292
65,2826.77,1.23995,0.78874,1.14342,0.4852,0.5673,0.4639,0.19492,2.12108,1.57337,1.96362,0.000610789,0.000610789,0.000610789
