Longitude,Latitude,No.,Red %,NIR %,NDVI,Plant health,Chlorophyll ,UTM_X,UTM_Y,Pixel_Col,Pixel_Row,Band_1,Band_2,Band_3,Band_4,Band_5
-117.811613,34.043217,N=38,16.0,3.0,0.3362266,3.0,24.6,425086.33397853945,3767244.854365917,2955,3522,0.031185472,0.053265054,0.047951557,0.09815485,0.096530154
-117.8116446,34.0431898,N=39,20.0,8.0,0.36958253,2.0,23.7,425083.39323601144,3767241.8614811637,2761,3719,0.024646064,0.044376872,0.048622992,0.09738996,0.1056335
-117.8116814,34.0432028,N=40,16.0,4.0,0.29367238,3.0,29.0,425080.0078610801,3767243.3299001153,2538,3622,0.033903174,0.06360512,0.07001732,0.12333281,0.12824003
-117.8117418,34.043232,N=41,21.0,5.0,0.13647576,2.0,21.5,425074.4583482749,3767246.611902935,2171,3406,0.032194555,0.051242266,0.057309054,0.07652511,0.07542388
-117.8117649,34.0432206,N=42,26.0,7.0,0.5171388,3.0,28.9,425072.3160875115,3767245.364749588,2029,3488,0.02174591,0.03131335,0.03195169,0.09051496,0.10039146
-117.8117944,34.0431859,N=43,21.0,2.0,0.37700048,3.0,22.3,425069.5625834622,3767241.538709134,1847,3741,0.02624975,0.04275881,0.04069773,0.08417469,0.0899532
-117.8118323,34.0431592,N=44,22.0,2.0,0.5999554,2.0,32.0,425066.04075537995,3767238.6058839783,1615,3934,0.026929988,0.055890616,0.03752226,0.13115804,0.15006809
-117.8117753,34.0431201,N=45,28.0,2.0,0.6456852,2.0,27.3,425071.2677270762,3767234.2286241096,1960,4224,0.019172385,0.041083045,0.023773922,0.10087685,0.11042268
-117.8117512,34.0431101,N=46,23.0,3.0,0.52912956,3.0,27.5,425073.48347357917,3767233.1021492374,2106,4298,0.023651013,0.038798496,0.03437708,0.104625985,0.11163793
-117.8117532,34.043102,N=47,26.0,9.0,0.6703144,2.0,27.7,425073.2917402567,3767232.205461367,2094,4357,0.022826249,0.05515588,0.03158659,0.14670305,0.16002981
-117.8117968,34.0430559,N=48,26.0,5.0,0.49848014,3.0,30.9,425069.22670990037,3767227.125678403,1825,4693,0.0209348,0.04503642,0.03654815,0.10245275,0.109201394
-117.8118259,34.0430753,N=49,41.0,2.0,0.24975276,3.0,29.3,425066.55770714255,3767229.298115359,1649,4549,0.024599116,0.034304358,0.040694766,0.06443861,0.06778885
-117.8118601,34.0430978,N=50,47.0,1.0,0.19128431,2.0,32.6,425063.42067869083,3767231.818024793,1442,4383,0.027996955,0.037820686,0.042455513,0.062554866,0.06253939
